pid,burst_time,remaining_time,priority,memory_required,state
1,4,4,1,443,READY
2,9,9,4,178,READY
3,5,5,2,410,READY
4,18,18,2,366,READY
5,14,14,1,79,READY
6,3,3,4,183,READY
7,17,17,10,77,READY
8,18,18,4,430,READY
9,18,18,7,176,READY
10,15,15,10,206,READY
11,1,1,3,421,READY
12,14,14,6,206,READY
13,5,5,4,454,READY
14,11,11,2,111,READY
15,13,13,2,247,READY
16,12,12,10,199,READY
17,2,2,8,338,READY
18,4,4,7,104,READY
19,18,18,5,488,READY
20,20,20,6,359,READY
21,7,7,2,87,READY
22,8,8,5,104,READY
23,8,8,2,258,READY
24,9,9,8,389,READY
25,12,12,3,253,READY
26,12,12,4,407,READY
27,9,9,2,375,READY
28,6,6,9,437,READY
29,8,8,3,300,READY
30,13,13,5,391,READY
31,18,18,4,414,READY
32,11,11,1,181,READY
33,2,2,6,269,READY
34,9,9,2,172,READY
35,19,19,6,172,READY
36,16,16,7,393,READY
37,15,15,3,199,READY
38,5,5,4,445,READY
39,18,18,9,198,READY
40,19,19,7,362,READY
41,13,13,6,176,READY
42,5,5,9,316,READY
43,3,3,1,504,READY
44,4,4,3,385,READY
45,6,6,7,369,READY
46,3,3,7,259,READY
47,20,20,8,334,READY
48,9,9,9,504,READY
49,1,1,2,413,READY
50,18,18,5,457,READY
51,11,11,2,214,READY
52,14,14,3,296,READY
53,1,1,5,320,READY
54,6,6,9,118,READY
55,10,10,9,375,READY
56,7,7,3,255,READY
57,6,6,9,462,READY
58,17,17,1,370,READY
59,11,11,8,73,READY
60,4,4,6,489,READY
61,10,10,4,93,READY
62,8,8,10,104,READY
63,3,3,8,481,READY
64,3,3,9,456,READY
65,5,5,3,401,READY
66,16,16,9,148,READY
67,9,9,9,510,READY
68,20,20,7,172,READY
69,18,18,4,429,READY
70,10,10,7,407,READY
71,12,12,8,328,READY
72,15,15,2,190,READY
73,8,8,2,237,READY
74,1,1,10,347,READY
75,8,8,10,176,READY
76,1,1,2,426,READY
77,2,2,4,98,READY
78,2,2,6,100,READY
79,17,17,4,206,READY
80,16,16,4,340,READY
81,5,5,10,359,READY
82,16,16,4,465,READY
83,16,16,7,161,READY
84,4,4,2,401,READY
85,14,14,6,280,READY
86,14,14,8,506,READY
87,2,2,2,95,READY
88,13,13,6,473,READY
89,4,4,4,162,READY
90,7,7,9,293,READY
91,5,5,7,157,READY
92,9,9,8,191,READY
93,3,3,8,477,READY
94,18,18,2,89,READY
95,18,18,1,111,READY
96,8,8,3,272,READY
97,16,16,8,173,READY
98,13,13,1,148,READY
99,13,13,1,263,READY
100,9,9,8,210,READY
101,14,14,9,402,READY
102,16,16,3,161,READY
103,10,10,4,93,READY
104,19,19,9,95,READY
105,11,11,1,89,READY
106,19,19,8,321,READY
107,17,17,3,93,READY
108,17,17,2,499,READY
109,6,6,2,368,READY
110,3,3,4,270,READY
111,4,4,10,190,READY
112,19,19,10,84,READY
113,20,20,2,278,READY
114,19,19,10,331,READY
115,11,11,5,168,READY
116,11,11,4,199,READY
117,13,13,3,407,READY
118,10,10,8,225,READY
119,3,3,1,298,READY
120,20,20,10,115,READY
121,3,3,9,173,READY
122,17,17,5,131,READY
123,12,12,2,189,READY
124,12,12,5,144,READY
125,15,15,9,424,READY
126,10,10,10,477,READY
127,17,17,1,405,READY
128,18,18,5,403,READY
129,4,4,3,199,READY
130,4,4,2,444,READY
131,18,18,3,203,READY
132,10,10,10,171,READY
133,11,11,4,415,READY
134,9,9,9,314,READY
135,9,9,1,111,READY
136,14,14,5,86,READY
137,1,1,6,458,READY
138,5,5,5,146,READY
139,15,15,9,425,READY
140,14,14,9,68,READY
141,4,4,2,417,READY
142,5,5,9,82,READY
143,12,12,10,346,READY
144,5,5,7,129,READY
145,2,2,5,250,READY
146,2,2,6,171,READY
147,8,8,2,245,READY
148,18,18,7,381,READY
149,5,5,4,506,READY
150,6,6,3,275,READY
151,1,1,3,441,READY
152,11,11,7,474,READY
153,8,8,5,145,READY
154,4,4,7,510,READY
155,2,2,8,177,READY
156,7,7,8,243,READY
157,10,10,4,178,READY
158,1,1,4,268,READY
159,11,11,5,506,READY
160,3,3,5,243,READY
161,17,17,7,411,READY
162,18,18,6,78,READY
163,4,4,5,155,READY
164,19,19,5,83,READY
165,4,4,10,286,READY
166,12,12,6,287,READY
167,20,20,9,123,READY
168,13,13,10,161,READY
169,9,9,1,426,READY
170,14,14,1,330,READY
171,18,18,4,250,READY
172,14,14,2,404,READY
173,11,11,10,224,READY
174,4,4,5,323,READY
175,10,10,7,231,READY
176,13,13,5,347,READY
177,5,5,4,279,READY
178,13,13,3,379,READY
179,19,19,5,271,READY
180,18,18,1,219,READY
181,10,10,4,284,READY
182,19,19,10,399,READY
183,11,11,8,290,READY
184,15,15,4,325,READY
185,16,16,3,401,READY
186,3,3,5,327,READY
187,20,20,6,111,READY
188,8,8,5,179,READY
189,7,7,3,76,READY
190,2,2,4,307,READY
191,20,20,2,297,READY
192,14,14,10,163,READY
193,13,13,8,268,READY
194,8,8,3,399,READY
195,1,1,2,462,READY
196,14,14,4,154,READY
197,17,17,8,89,READY
198,18,18,4,498,READY
199,4,4,8,132,READY
200,15,15,9,350,READY
201,20,20,6,450,READY
202,15,15,10,481,READY
203,17,17,7,489,READY
204,18,18,8,145,READY
205,16,16,8,196,READY
206,8,8,5,456,READY
207,17,17,8,384,READY
208,8,8,5,289,READY
209,3,3,5,184,READY
210,9,9,6,227,READY
211,18,18,2,134,READY
212,5,5,4,260,READY
213,5,5,4,96,READY
214,14,14,7,233,READY
215,18,18,8,276,READY
216,2,2,4,490,READY
217,14,14,7,458,READY
218,19,19,1,502,READY
219,19,19,7,308,READY
220,1,1,6,216,READY
221,13,13,7,339,READY
222,18,18,10,176,READY
223,16,16,4,203,READY
224,14,14,8,78,READY
225,13,13,6,406,READY
226,13,13,3,494,READY
227,15,15,3,382,READY
228,18,18,1,265,READY
229,19,19,10,403,READY
230,1,1,2,393,READY
231,14,14,3,507,READY
232,15,15,3,89,READY
233,9,9,7,231,READY
234,7,7,8,231,READY
235,11,11,7,206,READY
236,14,14,5,491,READY
237,3,3,8,73,READY
238,18,18,1,243,READY
239,8,8,2,463,READY
240,2,2,1,190,READY
241,7,7,1,382,READY
242,5,5,4,128,READY
243,16,16,2,352,READY
244,7,7,8,422,READY
245,9,9,6,149,READY
246,20,20,10,446,READY
247,4,4,3,223,READY
248,4,4,10,77,READY
249,10,10,10,410,READY
250,13,13,7,430,READY
251,7,7,2,367,READY
252,8,8,2,420,READY
253,10,10,10,476,READY
254,4,4,10,464,READY
255,2,2,6,336,READY
256,14,14,6,99,READY
257,17,17,6,70,READY
258,14,14,8,118,READY
259,14,14,6,389,READY
260,15,15,3,286,READY
261,6,6,9,397,READY
262,9,9,10,477,READY
263,18,18,8,302,READY
264,14,14,10,201,READY
265,11,11,4,489,READY
266,3,3,5,294,READY
267,8,8,8,355,READY
268,20,20,7,236,READY
269,1,1,8,499,READY
270,11,11,3,313,READY
271,7,7,6,472,READY
272,9,9,6,207,READY
273,20,20,5,348,READY
274,1,1,9,161,READY
275,3,3,4,432,READY
276,14,14,8,348,READY
277,8,8,8,394,READY
278,16,16,8,469,READY
279,1,1,2,214,READY
280,8,8,7,418,READY
281,8,8,5,403,READY
282,19,19,6,306,READY
283,18,18,9,240,READY
284,14,14,9,233,READY
285,12,12,8,202,READY
286,10,10,5,182,READY
287,4,4,4,225,READY
288,4,4,9,454,READY
289,6,6,4,174,READY
290,16,16,5,434,READY
291,19,19,9,369,READY
292,10,10,2,490,READY
293,7,7,5,180,READY
294,12,12,3,218,READY
295,1,1,9,128,READY
296,9,9,1,91,READY
297,18,18,5,421,READY
298,5,5,8,116,READY
299,1,1,10,209,READY
300,16,16,8,289,READY
301,11,11,3,90,READY
302,9,9,8,122,READY
303,3,3,7,315,READY
304,3,3,10,386,READY
305,2,2,3,140,READY
306,19,19,5,107,READY
307,8,8,2,349,READY
308,14,14,10,369,READY
309,20,20,4,461,READY
310,17,17,7,294,READY
311,15,15,5,504,READY
312,19,19,7,220,READY
313,19,19,10,94,READY
314,20,20,2,454,READY
315,7,7,4,199,READY
316,3,3,3,186,READY
317,6,6,9,102,READY
318,6,6,1,273,READY
319,15,15,10,304,READY
320,10,10,1,182,READY
321,10,10,5,423,READY
322,15,15,2,415,READY
323,8,8,5,467,READY
324,19,19,4,281,READY
325,4,4,9,179,READY
326,5,5,5,487,READY
327,5,5,2,94,READY
328,6,6,5,368,READY
329,19,19,5,288,READY
330,4,4,8,416,READY
331,10,10,7,203,READY
332,17,17,9,316,READY
