pid,burst_time,remaining_time,priority,memory_required,state
1,1,1,1,110,READY
2,3,3,4,44,READY
3,2,2,2,102,READY
4,5,5,2,91,READY
5,4,4,1,19,READY
6,1,1,4,45,READY
7,5,5,10,19,READY
8,5,5,4,107,READY
9,5,5,7,44,READY
10,4,4,10,51,READY
11,1,1,3,105,READY
12,4,4,6,51,READY
13,2,2,4,113,READY
14,3,3,2,27,READY
15,4,4,2,61,READY
16,3,3,10,49,READY
17,1,1,8,84,READY
18,1,1,7,26,READY
19,5,5,5,122,READY
20,5,5,6,89,READY
21,2,2,2,21,READY
22,2,2,5,26,READY
23,2,2,2,64,READY
24,3,3,8,97,READY
25,3,3,3,63,READY
26,3,3,4,101,READY
27,3,3,2,93,READY
28,2,2,9,109,READY
29,2,2,3,75,READY
30,4,4,5,97,READY
31,5,5,4,103,READY
32,3,3,1,45,READY
33,1,1,6,67,READY
34,3,3,2,43,READY
35,5,5,6,43,READY
36,4,4,7,98,READY
37,4,4,3,49,READY
38,2,2,4,111,READY
39,5,5,9,49,READY
40,5,5,7,90,READY
41,4,4,6,44,READY
42,2,2,9,79,READY
43,1,1,1,126,READY
44,1,1,3,96,READY
45,2,2,7,92,READY
46,1,1,7,64,READY
47,5,5,8,83,READY
48,3,3,9,126,READY
49,1,1,2,103,READY
50,5,5,5,114,READY
