pid,burst_time,remaining_time,priority,memory_required,state
1,91,91,1,307,READY
2,45,45,2,713,READY
3,27,27,1,1641,READY
4,79,79,1,1465,READY
5,64,64,1,317,READY
6,21,21,2,732,READY
7,74,74,5,310,READY
8,81,81,2,1722,READY
9,93,93,5,1115,READY
10,38,38,4,1462,READY
11,45,45,1,1810,READY
12,30,30,4,952,READY
13,45,45,2,696,READY
14,53,53,1,445,READY
15,58,58,1,991,READY
16,54,54,5,797,READY
17,15,15,4,1354,READY
18,25,25,4,417,READY
19,80,80,3,1954,READY
20,90,90,5,2020,READY
21,56,56,5,649,READY
22,100,100,1,349,READY
23,94,94,2,1839,READY
24,47,47,1,2007,READY
25,39,39,1,1034,READY
26,45,45,4,1557,READY
27,56,56,2,1014,READY
28,55,55,2,1628,READY
29,44,44,1,1503,READY
30,91,91,2,1349,READY
31,41,41,2,1202,READY
32,58,58,3,1566,READY
33,98,98,5,705,READY
34,97,97,3,1982,READY
35,17,17,2,1939,READY
36,14,14,3,1077,READY
37,44,44,1,688,READY
38,82,82,3,691,READY
39,93,93,4,1066,READY
40,92,92,4,548,READY
41,43,43,2,761,READY
42,81,81,5,794,READY
43,84,84,4,1451,READY
44,61,61,3,705,READY
45,27,27,5,1266,READY
46,21,21,1,2019,READY
47,24,24,2,1541,READY
48,30,30,4,1477,READY
49,18,18,4,1037,READY
50,86,86,4,1339,READY
